Txn Date,Sender No,Recipient No,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,Bank,Amount
11-10-2021,20932,1234,12-10-2022,Hello,231R23,1000.0,0.0,3000,HDFC,1000.0
21-10-2021,1234,290310,13-10-2002,Welcome,231R231,0.0,1000.0,2000,HDFC,1000.0
11-11-2021,20932,1234,13-10-2001,Words,231R2321,1000.0,0.0,4000,HDFC,1000.0
11-10-2101,1234,290310,13-10-2003,World,231R2332,0.0,1000.0,5000,HDFC,1000.0
11-10-2011,1234,290310,13-10-2011,TimePass,231R23122,0.0,1000.0,4000,HDFC,1000.0
11-10-2021,20932,5678,12-10-2022,Hello,231R23,1000.0,0.0,7000,SBI,1000.0
21-10-2021,5678,290310,13-10-2002,Welcome,231R231,0.0,1000.0,8000,SBI,1000.0
11-11-2021,20932,5678,13-10-2001,Words,231R2321,1000.0,0.0,9000,SBI,1000.0
11-10-2101,5678,290310,13-10-2003,World,231R2332,0.0,1000.0,3000,SBI,1000.0
11-10-2011,5678,290310,13-10-2011,TimePass,231R23122,0.0,1000.0,2000,SBI,1000.0
11-10-2021,20932,2027,12-10-2022,Hello,231R23,1000.0,0.0,3000,ICICI,1000.0
21-10-2021,2027,290310,13-10-2002,Welcome,231R231,0.0,1000.0,1000,ICICI,1000.0
11-11-2021,20932,2027,13-10-2001,Words,231R2321,1000.0,0.0,1000,ICICI,1000.0
11-10-2101,2027,290310,13-10-2003,World,231R2332,0.0,1000.0,2000,ICICI,1000.0
11-10-2011,2027,290310,13-10-2011,TimePass,231R23122,0.0,1000.0,3000,ICICI,1000.0
